Date,Time,RecordID,Status,Latitude,Longitude,Wind,Pressure,WindNE34,WindSE34,WindSW34,WindNW34,WindNE50,WindSE50,WindSW50,WindNW50,WindNE64,WindSE64,WindSW64,WindNW64,MaxWindRadius
2010-09-16,0000,"",TS,19.2,-90.1,40,997,0,0,50,50,0,0,0,0,0,0,0,0,
2010-09-17,1200,"",HU,19.6,-95.6,110,956,80,70,70,80,40,30,30,40,20,15,15,20,
2010-09-17,1500,T,HU,19.4,-96,110,970,80,70,70,80,40,30,30,40,20,15,15,20,
2010-09-17,1645,L,HU,19.3,-96.2,100,976,80,70,70,80,40,30,30,40,20,15,15,20,
2010-09-17,1800,"",HU,19.2,-96.4,90,979,80,70,50,80,40,30,25,40,20,15,10,20,
2010-09-29,1200,"",TS,21.9,-81,40,995,0,300,300,0,0,0,0,0,0,0,0,0,
2010-09-29,1500,S,LO,22.2,-80.5,40,995,0,300,300,0,0,0,0,0,0,0,0,0,
2010-10-15,0000,"",TS,22.9,-82,40,1004,60,20,20,30,0,0,0,0,0,0,0,0,
2010-10-15,0600,"",TD,22.9,-80.9,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
2010-10-25,0000,"",HU,17.2,-88.2,85,977,90,60,50,60,30,20,20,30,15,10,10,15,
2010-10-25,0030,L,HU,17.2,-88.3,85,977,90,60,50,60,30,20,20,30,15,10,10,15,
2010-10-26,0000,"",LO,18.4,-91.5,25,1002,0,0,0,0,0,0,0,0,0,0,0,0,
2010-10-26,0600,"",LO,19.1,-92.3,25,1004,0,0,0,0,0,0,0,0,0,0,0,0,
2011-06-30,0600,"",TS,21.6,-97,55,994,80,120,70,80,50,50,0,0,0,0,0,0,
2011-06-30,1200,"",TS,21.6,-97.3,55,993,80,120,40,80,50,50,0,0,0,0,0,0,
2011-06-30,1300,L,TS,21.6,-97.4,55,993,80,120,40,80,50,50,0,0,0,0,0,0,
2011-06-30,1800,"",TS,21.5,-98.1,45,998,90,90,40,40,0,0,0,0,0,0,0,0,
2011-07-30,0230,L,TD,27.3,-97.4,30,1007,0,0,0,0,0,0,0,0,0,0,0,0,
2011-07-30,0600,"",LO,27.8,-98.1,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
2011-08-06,0600,"",WV,24.6,-77.9,25,1012,0,0,0,0,0,0,0,0,0,0,0,0,
2011-08-06,1200,"",LO,25.6,-78.1,25,1011,0,0,0,0,0,0,0,0,0,0,0,0,
